emp_code,first_name,middle_name,last_name,address,role,manager,login,user_role,password,email,biz_zone,,,,,
blank(Kishoreganj[Terr](A)),blank(Kishoreganj[Terr](A)),,,,Blank,Sohel Rana,Kishoreganj[Terr](A),Territory,12345,Kishoreganj[Terr](A)@test.com,Kishoreganj[Terr](A),,,,,
blank(Rupgonj[Terr](A)),blank(Rupgonj[Terr](A)),,,,Blank,Sohel Rana,Rupgonj[Terr](A),Territory,12345,Rupgonj[Terr](A)@test.com,Rupgonj[Terr](A),,,,,
Md. Taifiqur Rahman,Md. Taifiqur Rahman,,,,TM-A,Tusher Kanti,Fakirapul [Terr] (A),Territory,12345,Fakirapul [Terr] (A)@test.com,Fakirapul [Terr] (A),,,,,
Md. Akhter Arefin Hossain,Md. Akhter Arefin Hossain,,,,TSO-A,Tusher Kanti,Khilgaon [Terr] (A),Territory,12345,Khilgaon [Terr] (A)@test.com,Khilgaon [Terr] (A),,,,,
blank(Mowlovi Bazar[Terr](A)),blank(Mowlovi Bazar[Terr](A)),,,,Blank,Tusher Kanti,Mowlovi Bazar[Terr](A),Territory,12345,Mowlovi Bazar[Terr](A)@test.com,Mowlovi Bazar[Terr](A),,,,,
blank(Basabo[Terr](A)),blank(Basabo[Terr](A)),,,,Blank,Tusher Kanti,Basabo [Terr] (A),Territory,12345,Basabo [Terr] (A)@test.com,Basabo [Terr] (A),,,,,
Md. Amjad Hossain,Md. Amjad Hossain,,,,ZSO-A,Tusher Kanti,Kaptan Bazar[Terr](A),Territory,12345,Kaptan Bazar[Terr](A)@test.com,Kaptan Bazar[Terr](A),,,,,
blank(Jatrabari[Terr](A)),blank(Jatrabari[Terr](A)),,,,Blank,Mr. Kazi Imran,Jatrabari[Terr](A),Territory,12345,Jatrabari[Terr](A)@test.com,Jatrabari[Terr](A),,,,,
Ashikur Rahman,Ashikur Rahman,,,,TM-A,Mr. Kazi Imran,Jurain[Terr](A),Territory,12345,Jurain[Terr](A)@test.com,Jurain[Terr](A),,,,,
blank(Gendaria[Terr](A)),blank(Gendaria[Terr](A)),,,,Blank,Mr. Kazi Imran,Gendaria[Terr](A),Territory,12345,Gendaria[Terr](A)@test.com,Gendaria[Terr](A),,,,,
blank(Sreenagar[Terr](A)),blank(Sreenagar[Terr](A)),,,,Blank,Mr. Kazi Imran,Sreenagar[Terr](A),Territory,12345,Sreenagar[Terr](A)@test.com,Sreenagar[Terr](A),,,,,
blank(Nababgonj[Terr](A)),blank(Nababgonj[Terr](A)),,,,Blank,Mr. Kazi Imran,Nababgonj[Terr](A),Territory,12345,Nababgonj[Terr](A)@test.com,Nababgonj[Terr](A),,,,,
Rokonuzzaman Bhy.,Rokonuzzaman Bhy.,,,,TSO-A,Mr. Kazi Imran,Zinzira[Terr](A),Territory,12345,Zinzira[Terr](A)@test.com,Zinzira[Terr](A),,,,,
blank(Mohakhali[Terr](A)),blank(Mohakhali[Terr](A)),,,,Blank,Mehadi Hasan Sajal,Mohakhali[Terr](A),Territory,12345,Mohakhali[Terr](A)@test.com,Mohakhali[Terr](A),,,,,
Debashish Baidya,Debashish Baidya,,,,TM-A,Mehadi Hasan Sajal,Gulshan[Terr](A),Territory,12345,Gulshan[Terr](A)@test.com,Gulshan[Terr](A),,,,,
Minarul Hossain,Minarul Hossain,,,,TM-A,Mehadi Hasan Sajal,Badda[Terr](A),Territory,12345,Badda[Terr](A)@test.com,Badda[Terr](A),,,,,
Kamruzzaman ,Kamruzzaman ,,,,TSO-A,Mehadi Hasan Sajal,Kawran Bazar[Terr](A),Territory,12345,Kawran Bazar[Terr](A)@test.com,Kawran Bazar[Terr](A),,,,,
Mahmudul Islam,Mahmudul Islam,,,,TM-A,Mehadi Hasan Sajal,Malibagh[Terr](A),Territory,12345,Malibagh[Terr](A)@test.com,Malibagh[Terr](A),,,,,
blank(Khilkhet[Terr](A)),blank(Khilkhet[Terr](A)),,,,Blank,Md. Rashedul Islam,Khilkhet[Terr](A),Territory,12345,Khilkhet[Terr](A)@test.com,Khilkhet[Terr](A),,,,,
blank(Dakkhin Khan[Terr](A)),blank(Dakkhin Khan[Terr](A)),,,,Blank,Md. Rashedul Islam,Dakkhin_Khan[terr](A),Territory,12345,Dakkhin_Khan[terr](A)@test.com,Dakkhin_Khan[terr](A),,,,,
Masud Rana,Masud Rana,,,,TSO-A,Md. Rashedul Islam,Uttara[Terr](A),Territory,12345,Uttara[Terr](A)@test.com,Uttara[Terr](A),,,,,
Shahidul Islam TM,Shahidul Islam TM,,,,TM-A,Md. Rashedul Islam,Tongi[Terr](A),Territory,12345,Tongi[Terr](A)@test.com,Tongi[Terr](A),,,,,
blank(Mirer Bazar[Terr](A)),blank(Mirer Bazar[Terr](A)),,,,Blank,Md. Rashedul Islam,Mirer Bazar[Terr](A),Territory,12345,Mirer Bazar[Terr](A)@test.com,Mirer Bazar[Terr](A),,,,,
Abdus Salam,Abdus Salam,,,,TM-A,Mr. Kabir Ahammed,Mirpur-1[Terr](A),Territory,12345,Mirpur-1[Terr](A)@test.com,Mirpur-1[Terr](A),,,,,
blank(Mirpur-2[Terr](A)),blank(Mirpur-2[Terr](A)),,,,Blank,Mr. Kabir Ahammed,Mirpur-2[Terr](A),Territory,12345,Mirpur-2[Terr](A)@test.com,Mirpur-2[Terr](A),,,,,
blank(Pallobi[Terr](A)),blank(Pallobi[Terr](A)),,,,Blank,Mr. Kabir Ahammed,Pallobi[Terr](A),Territory,12345,Pallobi[Terr](A)@test.com,Pallobi[Terr](A),,,,,
blank(Kachukhet[Terr](A)),blank(Kachukhet[Terr](A)),,,,Blank,Mr. Kabir Ahammed,Kachukhet[Terr](A),Territory,12345,Kachukhet[Terr](A)@test.com,Kachukhet[Terr](A),,,,,
blank(Dhamalkot[Terr](A)),blank(Dhamalkot[Terr](A)),,,,Blank,Mr. Kabir Ahammed,Dhamalkot[Terr](A),Territory,12345,Dhamalkot[Terr](A)@test.com,Dhamalkot[Terr](A),,,,,
blank(Mohammadpur[Terr](A)),blank(Mohammadpur[Terr](A)),,,,Blank,Asraful Islam Babon,Mohammadpur[Terr](A),Territory,12345,Mohammadpur[Terr](A)@test.com,Mohammadpur[Terr](A),,,,,
Mr.Kader Ali,Mr.Kader Ali,,,,ZSO-A,Asraful Islam Babon,Dhanmondi[Terr](A),Territory,12345,Dhanmondi[Terr](A)@test.com,Dhanmondi[Terr](A),,,,,
blank(New Market[Terr](A)),blank(New Market[Terr](A)),,,,Blank,Asraful Islam Babon,New Market[Terr](A),Territory,12345,New Market[Terr](A)@test.com,New Market[Terr](A),,,,,
blank(Krishi Market[Terr](A)),blank(Krishi Market[Terr](A)),,,,Blank,Asraful Islam Babon,Krishi_Market_[terr]_(A),Territory,12345,Krishi_Market_[terr]_(A)@test.com,Krishi_Market_[terr]_(A),,,,,
Mr.Uddipon Sikder,Mr.Uddipon Sikder,,,,TSO-A,blank(Lalbag[Reg](A)),Lalbag[Terr](A),Territory,12345,Lalbag[Terr](A)@test.com,Lalbag[Terr](A),,,,,
blank(Kamrangirchor[Terr](A)),blank(Kamrangirchor[Terr](A)),,,,Blank,blank(Lalbag[Reg](A)),Kamrangirchor[Terr](A),Territory,12345,Kamrangirchor[Terr](A)@test.com,Kamrangirchor[Terr](A),,,,,
blank(Gazipura[Terr](A)),blank(Gazipura[Terr](A)),,,,Blank,blank(Gazipur[Reg](A)),Gazipura[Terr](A),Territory,12345,Gazipura[Terr](A)@test.com,Gazipura[Terr](A),,,,,
Zubayer Hossain,Zubayer Hossain,,,,TSO-A,blank(Gazipur[Reg](A)),Konabari[Terr](A),Territory,12345,Konabari[Terr](A)@test.com,Konabari[Terr](A),,,,,
Maruf Hossain(Joydebpur[Terr](A)),Maruf Hossain(Joydebpur[Terr](A)),,,,TSO-A,blank(Gazipur[Reg](A)),Joydebpur[Terr](A),Territory,12345,Joydebpur[Terr](A)@test.com,Joydebpur[Terr](A),,,,,
blank(Rajendropur[Terr](A)),blank(Rajendropur[Terr](A)),,,,Blank,Nasiruddin(Gazipur[Reg](A)),Rajendropur[Terr](A),Territory,12345,Rajendropur[Terr](A)@test.com,Rajendropur[Terr](A),,,,,
Habibur Rahman,Habibur Rahman,,,,TSO-A,Nasiruddin(Gazipur[Reg](A)),Bormi[Terr](A),Territory,12345,Bormi[Terr](A)@test.com,Bormi[Terr](A),,,,,
Reazul Islam,Reazul Islam,,,,TM-A,Reazul Haque,Savar_[terr]_(A),Territory,12345,Savar_[terr]_(A)@test.com,Savar_[terr]_(A),,,,,
blank(EPZ[Terr](A)),blank(EPZ[Terr](A)),,,,Blank,Reazul Haque,EPZ[Terr](A),Territory,12345,EPZ[Terr](A)@test.com,EPZ[Terr](A),,,,,
Mir Shafik Hassan,Mir Shafik Hassan,,,,TSO-A,Reazul Haque,Manikgonj[Terr](A),Territory,12345,Manikgonj[Terr](A)@test.com,Manikgonj[Terr](A),,,,,
blank(Ashulia[Terr](A)),blank(Ashulia[Terr](A)),,,,Blank,Reazul Haque,Ashulia[Terr](A),Territory,12345,Ashulia[Terr](A)@test.com,Ashulia[Terr](A),,,,,
Murad Rahman,Murad Rahman,,,,TM-A,Tariqul Islam(Mymensingh[Reg](A)),Mymensingh[Terr](A),Territory,12345,Mymensingh[Terr](A)@test.com,Mymensingh[Terr](A),,,,,
blank(Valuka[Terr](A)),blank(Valuka[Terr](A)),,,,Blank,Tariqul Islam(Mymensingh[Reg](A)),Valuka[Terr](A),Territory,12345,Valuka[Terr](A)@test.com,Valuka[Terr](A),,,,,
Anisuzzaman,Anisuzzaman,,,,TM-A,Tariqul Islam(Mymensingh[Reg](A)),Netrokona[Terr](A),Territory,12345,Netrokona[Terr](A)@test.com,Netrokona[Terr](A),,,,,
Mostofa Kamal,Mostofa Kamal,,,,ZSO-A,Tariqul Islam(Mymensingh[Reg](A)),Fulpur[Terr](A),Territory,12345,Fulpur[Terr](A)@test.com,Fulpur[Terr](A),,,,,
blank(Sherpur[Terr](A)),blank(Sherpur[Terr](A)),,,,Blank,Tariqul Islam(Mymensingh[Reg](A)),Sherpur[Terr](A),Territory,12345,Sherpur[Terr](A)@test.com,Sherpur[Terr](A),,,,,
Rasheduzzaman,Rasheduzzaman,,,,RI-A,Mehfuz Kamal Bhuiyan,Tangail[Terr](A),Territory,12345,Tangail[Terr](A)@test.com,Tangail[Terr](A),,,,,
blank(Modupur[Terr](A)),blank(Modupur[Terr](A)),,,,Blank,Mehfuz Kamal Bhuiyan,Modupur[Terr](A),Territory,12345,Modupur[Terr](A)@test.com,Modupur[Terr](A),,,,,
Ashequr Rahman,Ashequr Rahman,,,,TM-A,Mehfuz Kamal Bhuiyan,Jamalpur[Terr](A),Territory,12345,Jamalpur[Terr](A)@test.com,Jamalpur[Terr](A),,,,,
HM Asad,HM Asad,,,,TSO-A,Belayet Hossain,Rangunia[Terr](A),Territory,12345,Rangunia[Terr](A)@test.com,Rangunia[Terr](A),,,,,
blank(Bahaddarhat[Terr](A)),blank(Bahaddarhat[Terr](A)),,,,Blank,Belayet Hossain,Bahaddarhat[Terr](A),Territory,12345,Bahaddarhat[Terr](A)@test.com,Bahaddarhat[Terr](A),,,,,
blank(Riazuddin Bazar[Terr](A)),blank(Riazuddin Bazar[Terr](A)),,,,Blank,Belayet Hossain,Riazuddin Bazar[Terr](A),Territory,12345,Riazuddin Bazar[Terr](A)@test.com,Riazuddin Bazar[Terr](A),,,,,
blank(Potiya[Terr](A)),blank(Potiya[Terr](A)),,,,Blank,Nazmul Hassan,Potiya[Terr](A),Territory,12345,Potiya[Terr](A)@test.com,Potiya[Terr](A),,,,,
Md Zonaid,Md Zonaid,,,,TSO-A,Nazmul Hassan,Amirabad[Terr](A),Territory,12345,Amirabad[Terr](A)@test.com,Amirabad[Terr](A),,,,,
Md Kamruzzaman Milon,Md Kamruzzaman Milon,,,,TSO-A,Nazmul Hassan,Anowara[Terr](A),Territory,12345,Anowara[Terr](A)@test.com,Anowara[Terr](A),,,,,
Uttom Chakraborty,Uttom Chakraborty,,,,ZSO-A,Md. Nurul Islam,Cox's Bazar[Terr](A),Territory,12345,Cox's Bazar[Terr](A)@test.com,Cox's Bazar[Terr](A),,,,,
blank(Teknaf[Terr](A)),blank(Teknaf[Terr](A)),,,,Blank,Md. Nurul Islam,Teknaf[Terr](A),Territory,12345,Teknaf[Terr](A)@test.com,Teknaf[Terr](A),,,,,
Hossen Ali,Hossen Ali,,,,TSO-A,Md. Nurul Islam,Chokoria[Terr](A),Territory,12345,Chokoria[Terr](A)@test.com,Chokoria[Terr](A),,,,,
Md Monirul Islam,Md Monirul Islam,,,,TM-A,Abul Kashem,Agrabad[Terr](A),Territory,12345,Agrabad[Terr](A)@test.com,Agrabad[Terr](A),,,,,
Md Ismail Hossain,Md Ismail Hossain,,,,ZSO-A,Abul Kashem,Potenga[Terr](A),Territory,12345,Potenga[Terr](A)@test.com,Potenga[Terr](A),,,,,
Golam Sarwer,Golam Sarwer,,,,TM-A,Abul Kashem,Pahartoli[Terr](A),Territory,12345,Pahartoli[Terr](A)@test.com,Pahartoli[Terr](A),,,,,
Md Abdur Raouf,Md Abdur Raouf,,,,TM-A,Abul Kashem,Shitakundo[Terr](A),Territory,12345,Shitakundo[Terr](A)@test.com,Shitakundo[Terr](A),,,,,
Md.Lokman Hossain,Md.Lokman Hossain,,,,TSO-A,Mr. Obaydullah,Hathazari[Terr](A),Territory,12345,Hathazari[Terr](A)@test.com,Hathazari[Terr](A),,,,,
Dhruba Ranzan ,Dhruba Ranzan ,,,,TM-A,Mr. Obaydullah,Fatikchori[Terr](A),Territory,12345,Fatikchori[Terr](A)@test.com,Fatikchori[Terr](A),,,,,
blank(Khagrachori[Terr](A)),blank(Khagrachori[Terr](A)),,,,Blank,Mr. Obaydullah,Khagrachori[Terr](A),Territory,12345,Khagrachori[Terr](A)@test.com,Khagrachori[Terr](A),,,,,
